RESP_FINAL;CATEGORY;A1R
2037;Dark;1
2087;Light;2
2209;Dark;5
2248;Dark;6
2244;Dark;5
2070;Dark;5
2237;Dark;6
2157;Dark;4
2156;Medium;3
2245;Dark;6
2151;Dark;4
2240;Dark;4
2027;Dark;1
2250;Dark;3
2086;Light;2
2080;Dark;6
4144;Dark;4
4118;Medium;2
2079;Dark;2
4077;Medium;2
4027;Dark;1
4143;Dark;4
4142;Light;4
2101;Medium;2
2090;Medium;2
2107;Dark;3
2166;Dark;4
2122;Medium;4
2069;Light;2
2136;Dark;4
2145;Dark;4
2147;Dark;2
2168;Medium;5
2158;Medium;3
2215;Dark;6
2169;Dark;4
2123;Dark;4
2099;Dark;2
2102;Dark;2
2235;Dark;6
2095;Light;3
2096;Dark;3
2128;Dark;4
4078;Dark;2
2106;Light;2
4165;Dark;5
2114;Light;3
2108;Light;3
2111;Light;3
2112;Medium;3
2093;Dark;2
2121;Dark;4
2120;Dark;4
2140;Dark;4
2118;Medium;3
2129;Medium;3
2149;Dark;4
2218;Medium;6
2246;Dark;6
2199;Dark;2
2238;Dark;6
2173;Dark;6
2115;Medium;3
2125;Light;2
2126;Medium;3
2146;Dark;6
2230;Dark;3
2249;Dark;4
2133;Light;4
2172;Light;2
2174;Dark;5
2134;Medium;4
2130;Dark;4
4119;Medium;3
4028;Dark;1
2124;Dark;4
3001;Medium;1
3002;Medium;1
3003;Medium;1
3004;Medium;1
3005;Light;2
3006;Light;1
3007;Light;1
3008;Light;1
3009;Medium;1
3010;Light;1
3012;Light;1
3011;Medium;1
3013;Dark;1
3014;Dark;1
3015;Medium;1
3016;Dark;1
3017;Medium;1
3018;Light;1
3019;Medium;1
3020;Medium;1
3021;Medium;1
3022;Medium;1
3023;Medium;1
3024;Medium;1
3025;Medium;2
3026;Dark;1
3027;Medium;1
3028;Medium;1
3029;Light;1
3030;Light;1
3031;Light;1
3032;Light;1
3033;Light;1
3034;Dark;1
3035;Medium;1
3036;Medium;1
3037;Dark;1
3038;Medium;1
3039;Dark;2
3040;Light;1
3041;Medium;2
3042;Dark;2
3043;Medium;2
3044;Dark;2
3045;Dark;2
3046;Dark;2
3047;Dark;2
3048;Light;2
3049;Medium;2
3050;Dark;2
3051;Medium;2
3052;Dark;2
3053;Medium;2
3054;Light;2
3055;Dark;2
3056;Medium;2
3057;Medium;2
3058;Dark;2
3059;Dark;2
3060;Dark;2
3061;Light;2
3062;Dark;1
3063;Medium;2
3064;Medium;2
3065;Medium;2
3066;Dark;1
3067;Light;2
3068;Medium;2
3069;Light;2
3070;Medium;2
3071;Dark;2
3072;Medium;2
3073;Light;1
3074;Medium;2
3075;Dark;2
3076;Medium;2
3077;Medium;2
3078;Dark;2
3079;Medium;2
3080;Medium;2
2163;Dark;5
3081;Medium;2
3082;Medium;3
3083;Dark;2
3084;Medium;3
3085;Light;2
3086;Medium;3
3087;Light;3
3088;Dark;3
3089;Light;3
3090;Dark;5
3091;Dark;2
3092;Dark;5
3093;Dark;2
3094;Light;3
3095;Dark;2
3096;Dark;3
3098;Light;3
3099;Medium;2
3100;Light;3
3102;Dark;2
3103;Light;1
3104;Light;3
3105;Medium;2
3106;Medium;2
3107;Dark;3
3108;Dark;3
3109;Medium;3
3110;Dark;2
3111;Light;2
3112;Medium;3
3113;Dark;2
3114;Dark;2
3115;Medium;1
3116;Dark;3
3117;Medium;1
3118;Medium;2
3119;Light;1
3120;Medium;3
3121;Light;4
3122;Medium;2
3123;Medium;4
3124;Dark;4
3125;Dark;4
3126;Dark;4
3127;Dark;4
3128;Medium;4
3129;Dark;4
3130;Medium;4
3131;Medium;4
3132;Dark;4
3133;Dark;4
3134;Dark;4
3135;Dark;4
3136;Dark;4
3137;Dark;4
3138;Dark;5
3139;Dark;4
3140;Dark;3
3141;Dark;4
3142;Light;3
3143;Dark;4
3144;Dark;4
3145;Dark;4
3146;Medium;3
3147;Medium;4
3148;Medium;2
3149;Dark;2
3150;Dark;4
3151;Medium;4
3152;Dark;4
3153;Medium;2
3154;Dark;4
3155;Medium;4
3156;Medium;4
3157;Dark;2
3158;Light;4
3159;Medium;4
3160;Dark;3
3161;Dark;5
3162;Medium;5
3163;Dark;5
3164;Dark;5
3165;Medium;3
3166;Dark;4
3167;Dark;5
3168;Light;3
3169;Dark;4
3170;Dark;3
3206;Light;5
3172;Medium;2
3173;Medium;2
3174;Medium;3
3175;Dark;5
3176;Dark;5
3177;Medium;5
3178;Dark;5
3179;Dark;5
3180;Dark;5
3181;Medium;4
3182;Dark;5
3183;Dark;5
3184;Dark;5
3185;Dark;5
3186;Dark;5
3187;Dark;5
3188;Dark;5
3189;Dark;5
3190;Light;2
3191;Dark;5
3192;Dark;5
3193;Dark;5
3194;Dark;5
3195;Light;5
3196;Dark;5
3197;Dark;5
3198;Medium;5
3199;Dark;5
3200;Dark;5
3201;Medium;5
3202;Dark;5
3203;Dark;5
3204;Dark;5
3205;Dark;4
3207;Dark;5
3208;Dark;5
3209;Dark;5
3210;Dark;5
3211;Dark;5
3214;Dark;4
3215;Dark;6
3216;Medium;4
3217;Dark;3
3218;Dark;5
3219;Dark;6
3220;Dark;6
3221;Dark;5
3222;Dark;6
3223;Dark;5
3224;Dark;6
3225;Dark;5
3226;Dark;4
3227;Dark;3
3228;Dark;3
3229;Medium;6
3230;Light;6
3231;Dark;6
3233;Dark;6
3232;Dark;4
3234;Dark;5
3235;Dark;5
3236;Medium;5
3237;Dark;6
3238;Medium;6
3239;Dark;4
3240;Dark;6
3241;Light;6
3242;Dark;6
3243;Dark;6
3244;Dark;3
3245;Dark;6
3246;Dark;6
3247;Medium;6
3248;Dark;6
3249;Dark;6
3250;Dark;6
3251;Dark;6
3252;Dark;5
3253;Dark;6
3254;Dark;6
3255;Dark;6
3256;Dark;6
3257;Dark;6
3258;Dark;6
3259;Dark;6
3260;Dark;6
3261;Dark;6
3266;Dark;6
2228;Dark;6
2241;Dark;4
2242;Dark;6
2247;Dark;6
2141;Dark;4
2180;Dark;5
2176;Dark;4
2177;Dark;5
2132;Medium;3
2164;Dark;5
2239;Dark;5
2181;Medium;5
2178;Medium;5
2167;Light;5
2165;Medium;5
2183;Dark;5
4221;Dark;6
4145;Dark;4
4120;Medium;3
4079;Medium;2
4029;Medium;1
2185;Dark;5
4146;Medium;4
4030;Dark;1
4031;Medium;1
2186;Dark;5
2153;Dark;4
2205;Dark;2
2162;Dark;5
2109;Dark;2
2131;Dark;2
4148;Dark;4
4166;Dark;5
4033;Light;1
3097;Medium;3
4056;Dark;2
4189;Dark;2
4150;Dark;4
4199;Dark;3
4202;Dark;2
4152;Dark;4
4151;Medium;4
4223;Medium;3
4235;Dark;4
4260;Dark;4
3101;Medium;3
4236;Dark;4
4198;Dark;3
4200;Dark;3
4237;Dark;4
4234;Dark;4
4266;Medium;6
4203;Medium;3
4168;Medium;1
4169;Dark;1
4225;Dark;3
4226;Dark;3
4233;Medium;4
4190;Medium;2
4204;Dark;3
4080;Dark;2
4086;Light;3
4032;Medium;1
4034;Medium;1
4149;Dark;4
4192;Dark;2
4194;Dark;2
4205;Dark;3
4206;Medium;5
4230;Medium;3
4253;Dark;4
4232;Dark;3
4229;Medium;3
4171;Dark;1
4227;Dark;3
4167;Medium;5
4193;Medium;2
4153;Dark;4
4170;Dark;1
4197;Dark;2
4228;Dark;3
4191;Dark;2
4172;Dark;1
4222;Dark;6
4207;Dark;5
4173;Dark;1
4195;Dark;2
4238;Dark;4
4063;Dark;2
4239;Medium;4
4035;Dark;1
4112;Dark;3
4087;Medium;3
4240;Medium;4
4082;Light;3
4065;Dark;2
4036;Dark;1
4154;Dark;4
4155;Dark;4
4156;Dark;4
4174;Dark;1
4157;Dark;4
4231;Dark;3
4113;Light;3
4175;Dark;1
4208;Dark;5
4241;Dark;4
4005;Dark;1
4106;Medium;3
4117;Dark;3
4014;Dark;1
4111;Dark;3
4201;Dark;3
4147;Dark;4
4242;Medium;4
4125;Dark;4
4037;Light;1
4243;Dark;4
4039;Dark;1
4038;Medium;1
4176;Dark;1
4209;Dark;5
4177;Medium;1
4244;Dark;4
4068;Dark;2
4075;Medium;2
4160;Dark;4
4064;Dark;2
4067;Dark;2
4261;Dark;6
4066;Dark;2
4076;Dark;2
4178;Medium;2
4245;Dark;4
4246;Medium;3
4072;Dark;2
4179;Medium;1
4182;Dark;1
4183;Dark;2
4184;Medium;1
4247;Dark;4
4210;Dark;5
4224;Dark;3
4071;Dark;2
4248;Light;4
4040;Medium;1
4185;Medium;1
4265;Dark;6
4074;Medium;2
4254;Dark;4
4249;Dark;4
4250;Medium;4
4114;Dark;3
4213;Dark;5
4212;Dark;5
4130;Light;4
4211;Dark;5
4264;Dark;6
4263;Dark;6
4257;Dark;4
4159;Light;4
4140;Medium;4
4186;Light;1
4139;Dark;4
4180;Medium;1
4252;Light;4
4133;Dark;3
4255;Dark;4
4187;Dark;1
4220;Dark;6
2085;Medium;1
2255;Dark;6
4051;Medium;2
4215;Dark;6
4129;Dark;4
4008;Dark;1
4010;Dark;1
4096;Dark;3
4131;Dark;4
4007;Medium;1
4003;Light;1
4122;Dark;4
4089;Dark;3
4047;Dark;2
4088;Dark;3
4085;Dark;3
4048;Dark;2
4126;Dark;4
4044;Dark;2
4162;Dark;5
4083;Medium;3
4161;Medium;5
4045;Dark;2
4041;Medium;2
4095;Dark;3
4043;Medium;2
4053;Dark;2
4052;Dark;2
4004;Medium;1
2232;Dark;5
4216;Dark;6
4094;Dark;3
4128;Medium;4
4092;Dark;3
4093;Dark;3
4009;Dark;1
4050;Medium;2
4091;Dark;3
4049;Dark;2
4042;Dark;2
4127;Dark;4
4046;Medium;2
4124;Medium;4
4214;Dark;6
4121;Light;4
4001;Light;1
4081;Dark;3
4123;Dark;4
4002;Light;1
4090;Dark;3
4084;Dark;3
4097;Medium;3
4098;Dark;3
4011;Dark;1
4099;Medium;3
4012;Light;1
4006;Dark;1
4013;Light;1
4100;Medium;3
4101;Dark;3
2222;Medium;5
2077;Medium;1
2083;Light;2
2082;Dark;3
2084;Light;1
2088;Medium;2
2189;Dark;2
2139;Medium;2
2223;Medium;4
2142;Dark;4
2217;Dark;5
2233;Dark;5
2089;Medium;3
2148;Dark;2
2154;Dark;2
2143;Dark;2
2224;Dark;5
2159;Medium;3
4132;Dark;4
2155;Medium;2
2152;Medium;3
4015;Dark;1
4102;Dark;3
4103;Dark;3
2190;Dark;4
2187;Dark;4
2188;Medium;2
2117;Medium;2
4054;Medium;2
4163;Dark;5
4016;Dark;1
2192;Dark;4
2042;Light;2
2041;Dark;1
2098;Medium;1
2044;Light;1
2007;Dark;1
2043;Dark;2
2012;Medium;1
2094;Dark;3
2220;Dark;5
2219;Dark;6
2021;Medium;2
2092;Medium;3
2179;Dark;3
2040;Dark;1
2081;Dark;3
2008;Medium;1
2017;Dark;1
2216;Medium;5
2253;Medium;4
2221;Dark;6
2045;Medium;1
2004;Medium;3
2020;Medium;1
2018;Dark;1
2254;Light;5
2191;Dark;4
2078;Dark;2
2225;Dark;4
